Urun,Kaynak,Yazar,Yorum,Begeni,Tarih,Temiz_Yorum,Skor,Etiket,Hedef
MacBook Air,Twitter (Simulated),@user_75549, Allah aşkına videonun kapağı niye 10 sene önce çekilmiş video gibi duruyor daha net bir fotoğraf koysan daha iyi olmaz mı,98,2025-05-25T16:20:20Z,allah aşkına videon kapağı niye sene önce çekilmiş video duruyor net fotoğraf koysan iyi olmaz,1.0,Olumlu,1
Dyson Supurge,YouTube,@muhammetac8014,Kablosuz süpürgeler benim gozum de balon elimde 3kg lik süpürge ile mi yerleri koltukları arabayı süpürmesi kolay yoksa normal supurgenin maksimum yarım kg olan supurme başlığı ile süpürmek mi kolay kaliteli süpürge istiyorsanız miele nin elektirikli süpürgelerine bakın illa kablosuz olsun derseniz gene miele nin süpürgelerine bakın miele dyson dan çok daha kaliteli ve fiyatları hemen hemen aynı elektirikli versiyonları da piyasaya göre gayet uygun bence,0,2024-01-05T22:40:31Z,kablosuz süpürge ben gozum balon elimde lik süpürge yerleri koltukları arabayı süpürmesi kolay yoksa normal supurge maksimum yarım olan supurme başlığı süpürmek kolay kaliteli süpürge istiyorsanız miele nin elektirikli süpürgelerine bakın illa kablosuz ols derseniz gene miele nin süpürgelerine bakın miele dyson dan kaliteli fiyatları hemen hemen aynı elektirikli versiyonları piyasaya göre gayet uyg bence,1.0,Olumlu,1
Samsung S24,YouTube,@eleutherios0,Merhabalar hocam s24 snapdragon 8 gen 3 kullanıyorum 2 ci el aldım sarjı çok hızlı gidiyor sabah 11 de 100 le çıktım evden 8 gibi falan bitiyor sarjı. 6 saat fslan ekrn sürüsi verihor,1,2024-09-11T20:15:15Z,merhaba hocam snapdragon gen kullanıyorum aldım sarjı hızlı gidiyor sabah çıktım evden falan bitiyor sarjı saat fslan ekrn sürüsi verihor,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_3009,"❤️ Öncelikle bu detaylı inceleme videosu için kendi adıma çok çok teşekkür ederim.
Yine harika bir i... #tech",206,2020-01-26T03:00:48Z,öncelikle detaylı inceleme videosu kendi adıma teşekkür eder harika tech,1.0,Olumlu,1
iPhone 15,YouTube,@Onlineperco,Herkes ne kadar takılmış 60hz hızına. Oyun oynamıyorsanız hiç birşey ifade etmiyor. Dünyanın en iyi ekranına sahip super retina xdr oled ekranına sahip. Bu kalite hz sayısını siktir etmek için başlı başına bir sebep. Kaldı ki 120 hz alan bir çok kisi 120 hz aktif kullanmıyor 2 katına yakın şarjını bitirmesinden dolayı. Günlük kullanımda cok çok önemsiz.,94,2023-11-03T16:23:18Z,herkes takılmış hızına oyun oynamıyorsanız hiç birşey ifade etmiyor dünya iyi ekranına sahip super retina xdr oled ekranına sahip kalite sayısını siktir etmek başlı başına sebep kaldı alan kisi aktif kullanmıyor katına yakın şarjını bitirmesin dolayı günlük kullanımda cok önemsiz,1.0,Olumlu,1
AirPods Pro,YouTube,@nitelik9887,Çok yardımcı oldu çok teşekkür ederim.,0,2021-02-18T20:59:30Z,yardımcı oldu teşekkür eder,1.0,Olumlu,1
Samsung S24,YouTube,@kaannbstn,Cihazı kullanıyorum efso tavsiye ederim  🤌,1,2024-07-17T19:28:31Z,cihazı kullanıyorum efso tavsiye eder,1.0,Olumlu,1
Dyson Supurge,Twitter (Simulated),@user_59364," ....gelelim esas konuya..!!!

   Bu süpürgeyi alma şansım yok, bilgi amsçlı videoyu izledim, video akıcı sıkılmadan izledim...

  Eksikler;  bu alet şarzlı, güzel peki kablosu var mı kablo ile kullanması yoksa ne olur!?!?

 Bu gibi şarzlı aletlerin bataryaları kısa zaman sonra...",89,2024-02-28T22:11:55Z,gelel esas konuya süpürgeyi alma şansım bilgi amsçlı videoyu izled video akıcı sıkılma izled eksik alet şarzlı güzel peki kablosu kablo kullanması yoksa olur şarzlı aletlerin bataryaları kısa zaman sonra,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_97068, yemin ederim fuzuli bilgiler hiç fuzili değil mükemmel detay,12,2020-04-01T18:00:16Z,yemin eder fuzuli bilgi hiç fuzili değil mükemmel detay,1.0,Olumlu,1
AirPods Pro,YouTube,@ahmetbilgin3027,Android de iyi uyumlu mu acaba?,0,2020-02-10T17:25:21Z,android iyi uyumlu acaba,1.0,Olumlu,1
AirPods Pro,YouTube,@emincakc1912,Abi çok teşekkür ederim bizi çok bilgilendirdin ❤,0,2023-03-05T17:32:57Z,abi teşekkür eder bizi bilgilendirdin,1.0,Olumlu,1
iPhone 15,YouTube,@eylullssuu1,dün yurt dışı sıfır 15 aldım kutusunu kendim açtım ios 17.4 teydi güncellemesi ben de sbaah güncelledim ama bende ısınma mevcut bu neden olabilir normla kullanımda bile ısınıyor,2,2024-04-28T13:48:38Z,dün yurt dışı sıfır aldım kutusunu kend açtım ios teydi güncellemesi sbaah güncelled bende ısınma mevcut neden olabilir normla kullanımda bile ısınıyor,-1.0,Olumsuz,0
iPhone 15,Instagram (Simulated),insta_user_7709,🤔 Hocam 13 pro mu 15 düz mü hangisini almamı tavsiye edersiniz #fiyatperformans,254,2025-07-27T20:03:02Z,hocam pro düz hangisini alma tavsiye eder fiyatperformans,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_6809,❤️ Ekranın 60hz olması dışında kusuru olmayan güzel bir cihaz. #fiyatperformans,118,2023-10-06T12:11:12Z,ekra olması dışında kusuru olmayan güzel cihaz fiyatperformans,1.0,Olumlu,1
iPhone 15,YouTube,@abdurrahmanpubg7975,Telefon apple 15 sabah havuza düştü bi sorun olur mu şu an çalışıyor telefon 5 aylık,0,2024-09-18T19:20:26Z,telefon apple sabah havuza düştü sor olur çalışıyor telefon aylık,-1.0,Olumsuz,0
iPhone 15,YouTube,@mehterbey1971,İPhone 13 kullanıyorum hiç bir farkı yok android 120 hz den çok akıcı bir ekran kalitesi var,1,2025-06-15T01:59:40Z,iphone kullanıyorum hiç farkı android den akıcı ekran kalitesi,1.0,Olumlu,1
AirPods Pro,YouTube,@oghuzog,Intro efsane⚡,1,2020-01-25T16:03:33Z,intro efsane,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_9509,"👏 İzlemeden like 👍. 
Çünkü adam başarılı. #alisveris",408,2020-01-25T16:01:43Z,izleme like çünkü adam başarılı alisveris,1.0,Olumlu,1
iPhone 15,YouTube,@samcqueen,"Merhaba, şarj süresi yeni alınan cihazlar için zamanla daha iyi performans gösterebilir mi? 3 gündür 15 kullanıyorum ama şarjının hızlı tükendiğini hissediyorum.",0,2025-05-04T20:52:29Z,merhaba şarj süresi yeni alınan cihaz zamanla iyi performans gösterebilir gündür kullanıyorum şarjı hızlı tükendiğini hissediyorum,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_5513,👏 Samsung s10+ plus cihazımla uyumlu şekilde çalışır mı? Tavsiye eder misin abi yoksa samsung buds+... #inceleme,294,2020-03-06T04:54:33Z,samsung plus cihazımla uyumlu şekilde çalışır tavsiye eder misin abi yoksa samsung buds inceleme,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_6631,👏 İphone 15de ısınma sorunu var mı #fiyatperformans,328,2023-10-06T04:47:40Z,iphone ısınma sorunu fiyatperformans,-1.0,Olumsuz,0
Samsung S24,Twitter (Simulated),@user_11852, *KESİN BATARYA ON NUMARA DER ALIR KULLANIRSIN BERBAT ÇIKAR* 🗿,94,2024-07-13T17:09:11Z,kesin batarya numara der alir kullanir berbat çikar,-1.0,Olumsuz,0
AirPods Pro,YouTube,@sergenakyuz3521,Restauranta çalışıyorum adamın biri unutmuş 1 aydır almaya da gelmemiş  dün ben bi takip deneyeyim dedim böyle bi şey yok ya bende normal de samsung buds i var aralarında dünya kadar fark var param yok ama bi şekilde alicam tavsiye ederim,0,2021-03-14T06:53:12Z,restauranta çalışıyorum adamın biri unutmuş aydır almaya gelmemiş dün takip deneyey ded bende normal samsung buds aralarında dünya fark param şekilde alicam tavsiye eder,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_42224,@Webtekno Oyun oynuyorum aşırı yavaş mı?,5,2025-04-13T15:06:18Z,webtekno oyun oynuyorum aşırı yavaş,-1.0,Olumsuz,0
iPhone 15,Instagram (Simulated),insta_user_1723,😍 iPhone milleti çok kötü kazıkladı bazı teknolojiler çok geriden geliyor hem de en basit olan tekn... #inceleme,466,2024-05-28T10:10:16Z,iphone milleti kötü kazıkladı bazı teknoloji geri geliyor hem basit olan tekn inceleme,-1.0,Olumsuz,0
Samsung S24,YouTube,@ShdwByt,incelemelere wild rift oyunununda kaç fps aldığını ve telefonda throttle var mı ve 120fps aldığı oyunlara da değinirseniz daha iyi olur,0,2024-07-20T22:38:44Z,incelemelere wild rift oyunununda kaç fps aldığını telefonda throttle fps aldığı oyunlara değinirseniz iyi olur,1.0,Olumlu,1
Samsung S24,YouTube,@Elkied,"8 gen 2 li s23 , s24 den daha az ısınmakta,bataryasında 30 dk ya yakın daha fazla gitmekte.eğer 5g ülkemize gelirse bu süre 1 saatlere kadar çıkacaktır çünki exnos 2400 5g de çok pil tüketip, çok ısınmakta. snapdragonun optimize olmasını bazı insanlar anlamıyor. ama eğer tesleri izlerseniz veya okursanız  snapdarognlu s23 ün fotograf çekerken s24 den daha iyi renk skalalası olduğunu görebilirsiniz. aynı testi 8 gen 3 lü s24 de çekildiğindeki tesleride bulunmakta snapdragon çok daha optimize. exnos alan insanların mutlu olduğu yorumlarını  bende görüyorum ama mutluluk görecelidir ve karşılaştırılamaz. ama uzun vadede 8 gen 2 li s23 kullanların telefonunu daha uzun süre ve soğuk kullanabileceği bi gerçek. ve soğuk olmasından mütevellit  daha az fbs drop yaşayacağınızda bi gerçek tesleri var merak eden izleyebilir. samsung 2 senede bir böyle kendi işlemcisini koyduğu ama amerikada  exnosu koyamadığı modeller çıkartmakta amaç kar tabikide sonuçta snapdragondan işlemci almak daha maliyetli. 

ne s24 fe, ne s24,ne s24+  hiçbir durumda 8 gen 2 li s23  den daha fazla fbs gösterip daha serin kalamaz kaldiki  plus modelinin zaten batarya puanı s23 ile aynı dxomarkta. exnos verimli olmadığı için 4700 mamer bataryanın çok bir astı kalmıyor malesef. oyunların teslerini yaparken snapdragon işlemcili cihazlarda test edildiğini unutmamak gerek. samsung s24 ün fiyatını düşürüyor  çünki maliyeti az bir aralık emin olun s23 den ucuza da göreceksiniz. bana itimat etmek zorunda değilisiniz tabikide yüzlerce test ve videosu platforlarda mevcut ona göre kararınızı verin.s24 alıp mutlu da olabilirsiniz ama bu gerçekleri değiştirmiyor insiyatif size kalmış . Ama s23 yerine s24 öneren birini asla samimi bulmam veya işlemci den anlamıyordur 😅",0,2024-11-10T16:03:27Z,gen den ısınmaktabataryasında yakın fazla gitmekteeğer ülkemize gelirse süre saatlere çıkacaktır çünki exnos pil tüketip ısınmakta snapdragon optimize olmasını bazı insan anlamıyor eğer tesleri izlerseniz veya okursanız snapdarognlu fotograf çekerken den iyi renk skalalası olduğunu görebilir aynı testi gen çekildiğindeki tesleride bulunmakta snapdragon optimize exnos alan insanların mutlu olduğu yorumlarını bende görüyorum mutluluk görecelidir karşılaştırılamaz uzun vadede gen kullanların telefonunu uzun süre soğuk kullanabileceği gerçek soğuk olmasın mütevellit fbs drop yaşayacağınızda gerçek tesleri merak eden izleyebilir samsung senede kendi işlemcisini koyduğu amerikada exnosu koyamadığı model çıkartmakta amaç kar tabikide sonuçta snapdragon işlemci almak maliyetli sne hiçbir durumda gen den fazla fbs gösterip serin kalamaz kaldiki plus modeli zaten batarya puanı aynı dxomarkta exnos verimli olmadığı mamer batarya astı kalmıyor malesef oyunların teslerini yaparken snapdragon işlemcili cihazlarda test edildiğini unutmamak gerek samsung fiyatını düşürüyor çünki maliyeti aralık emin olun den ucuza görecek itimat etmek zorunda değili tabikide yüzlerce test videosu platforlarda mevcut ona göre kararınızı verins alıp mutlu olabilir gerçekleri değiştirmiyor insiyatif size kalmış yerine öneren birini asla sami bulmam veya işlemci den anlamıyordur,1.0,Olumlu,1
Samsung S24,YouTube,@lastexit4139,Son amiral gemisi a73 tür o da artik üretilmiyor iyi olan şeylerin üretimi durdurulur,0,2025-01-21T18:58:13Z,son amiral gemisi tür artik üretilmiyor iyi olan şeylerin üreti durdurulur,1.0,Olumlu,1
AirPods Pro,Twitter (Simulated),@user_16368,@AppleDestek Alp bey bu ürünü almayı düşünüyorum S10+ kullanıcısıyım bazi yorum ve videolarda android deki ses apple daki kadar yüksek cikmiyor müzik dinlerken diyor ben dışardan gelen seslere karşı hassasm (misophonia hastasıyım) gürültü engellenme dışarda ki sesleri iyi izole edebiliyor ...,72,2020-01-27T08:21:32Z,appledestek alp bey ürünü almayı düşünüyorum kullanıcısıyım bazi yorum videolarda android deki ses apple daki yüksek cikmiyor müzik dinlerken diyor dışar gelen seslere karşı hassasm misophonia hastasıyım gürültü engellenme dışarda sesleri iyi izole edebiliyor,1.0,Olumlu,1
iPhone 15,YouTube,@fatmazhhra,Abi 13 ve 15 arasında kalmıştım güncel telefon alın tavsiyeni dinleyerek 15 e yönelmiştim ancak kronik sorunlari var deniyor sen bir sorun yaşadın mı? ısınma vs gibi,3,2024-07-03T19:45:53Z,abi arasında kalmıştım güncel telefon alın tavsiyeni dinleyerek yönelmişt kronik sorunlari deniyor sor yaşadın ısınma,-1.0,Olumsuz,0
Samsung S24,YouTube,@ali_kucuk,Kompakt telefonlar kıyaslaması güzel olur,1,2024-07-13T19:46:55Z,kompakt telefon kıyaslaması güzel olur,1.0,Olumlu,1
Samsung S24,YouTube,@pasurle4035,Kardesim bu telefon bende var bir kere sarji cok iyi bende ertesi gunu bile goruyor ilk bi iki hafta isinma oldu sonra duzeldi ince cerceveleri elde tutusu cok guzel buyuk telfonu tasimak zor oluyor 60 hz iphone telfonlari almam pro max te pahali agir buyuk telefon ultra modolide oyle tasimasi zor bu teli alan 3 bes yil kafa rahat kullanir,0,2024-09-21T12:27:38Z,kardes telefon bende kere sarji cok iyi bende ertesi gunu bile goruyor ilk iki hafta isinma oldu sonra duzeldi ince cerceveleri elde tutusu cok guzel buyuk telfonu tasimak zor oluyor iphone telfonlari almam pro max pahali agir buyuk telefon ultra modolide oyle tasimasi zor teli alan bes yil kafa rahat kullanir,1.0,Olumlu,1
Dyson Supurge,YouTube,@PythonKali,"başlık yanlış olmuş, 1 tane eksisi söylenmedi ki :)
philips önermem yıkamalı modeli vardı 1 yıl da motoru pert oldu, ayda 2 kere çalıştırdığım alet taş çatladı 30 kullanımda bozuldu emiş gücü yarıya düştü,  yıkama başlığı takılıyken sürekli olduğu yerde damlatıyor, ve elinizle silseniz elli kat daha güzel silersiniz. garantiye gönderdim kullanıcı hatasıymış, bunlarla mı uğraşcam dedim ben de dyson aldım.  Bir şey alacaksan gidip en iyisi neyse ya onu alcan ya da hiçbir şey almayacaksın bu ülkede.",3,2024-05-07T16:52:37Z,başlık yanlış olmuş tane eksisi söylenmedi philips önermem yıkamalı modeli vardı yıl motoru pert oldu ayda kere çalıştırdığım alet taş çatladı kullanımda bozuldu emiş gücü yarıya düştü yıkama başlığı takılıyken sürekli olduğu yerde damlatıyor elinizle silseniz elli kat güzel siler garantiye gönderd kullanıcı hatasıymış bunlarla uğraşcam ded dyson aldım alacaksan gidip iyisi neyse onu alcan hiçbir almayacaksın ülkede,1.0,Olumlu,1
iPhone 15,YouTube,@yusufkaya4251,İphone düz 15 ön kamera bulanık çıkıyor öyle bi sorun varmış düzeliyor mu bu sorun telefondan,0,2024-01-25T10:09:45Z,iphone düz kamera bulanık çıkıyor öyle sor varmış düzeliyor sor telefon,-1.0,Olumsuz,0
Samsung S24,Twitter (Simulated),@user_48218,@SamsungTurkiye Gayette mükemmel bir telefon iyi ki almışım üstelik 256gb versiyonunu 35 bin lira gibi uyguna bir fiyata aldım  :),15,2024-07-21T09:00:34Z,samsungturkiye gayette mükemmel telefon iyi almışım üstelik versiyonunu bin lira uyguna fiyata aldım,1.0,Olumlu,1
iPhone 15,YouTube,@tanselgirginofficial,"Çok hızlı anlatıyotsunuz, ve videolar arası geçişleri de çok kısa ve hızlı, teşekkürler",2,2024-06-08T03:45:18Z,hızlı anlatıyotsunuz video arası geçişleri kısa hızlı teşekkür,1.0,Olumlu,1
iPhone 15,YouTube,@EMREDEMİR-d8m,İphone 15 ler de ısınma sorunu var diyolar doğru mu,1,2024-10-31T19:17:19Z,iphone ler ısınma sorunu diyo doğru,-1.0,Olumsuz,0
MacBook Air,YouTube,@borauysal7758,"Thunderbolt portundan şarj dolumu yapmadığı doğru değil. Bu cihazlarda batarya optimizasyonu seçeneği var muhtemelen açık kalmıştır o seçenek ve cihaz yüzde 80'i geçince kendini beklemeye almıştır pil sağlığı için. Siz de tam o esnada kabloyu taktıysanız batarya dolumu yapmıyor olarak algılamışsınızdır. Oysa o anda magsafe kablosunu da taksanız dolum yapmayacaktır, ya da çok yavaş bir şekilde %100 'e ulaşacaktır.",26,2025-04-20T08:30:51Z,thunderbolt portun şarj dolumu yapmadığı doğru değil cihazlarda batarya optimizasyonu seçeneği muhtemelen açık kalmıştır seçenek cihaz yüzde geçince kendini beklemeye almıştır pil sağlığı tam esnada kabloyu taktıysanız batarya dolumu yapmıyor olarak algılamışsınızdır oysa anda magsafe kablosunu taksanız dolum yapmayacaktır yavaş şekilde ulaşacaktır,-1.0,Olumsuz,0
iPhone 15,YouTube,@flosmortem,"merhaba ıphone 15 mi yoksa ıphone 14 mü daha iyi günlük kullanım için,teşekkürler",0,2025-06-28T14:44:29Z,merhaba ıphone yoksa ıphone iyi günlük kullanım içinteşekkür,1.0,Olumlu,1
Samsung S24,Instagram (Simulated),insta_user_9757,🔥 abi 14 15 binlere çıka bilirim en fazla yurt dışı da olabilir en iyi cihaz nedir sence 4 5 yıl ku... #inceleme,140,2024-07-17T22:39:26Z,abi binlere çıka bilir fazla yurt dışı olabilir iyi cihaz nedir sence yıl inceleme,1.0,Olumlu,1
MacBook Air,Instagram (Simulated),insta_user_5943,"😡 Fan yok, kasa dar. Bu yüzden özellikle sıcakta ısınma yüksek oluyor. Isındığı zamanda makine ağır... #alisveris",476,2025-04-24T17:37:31Z,fan kasa dar yüz özellikle sıcakta ısınma yüksek oluyor isındığı zamanda makine ağır alisveris,-1.0,Olumsuz,0
iPhone 15,Twitter (Simulated),@user_36855, merhaba 15in kamerası hakkında çok kötü eleştiriler var sizce öbür modellerden bir farkı kötü bir yanı var mı kamerasının?,50,2024-10-27T12:48:37Z,merhaba kamerası hakkında kötü eleştiri sizce öbür modeller farkı kötü yanı kamerası,-1.0,Olumsuz,0
Dyson Supurge,YouTube,@kadimdost7250,Diğer markalar uyansa yeşil renk led lamba taksalar tozlar daha iyi görünür.,0,2024-10-16T19:51:06Z,diğer marka uyansa yeşil renk led lamba taksa toz iyi görünür,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_3419,"💩 Selam Alp Beyefendi, gerçekten sizi dinleyerek harika bilgiler edindim ve İpone11 Telefon almaya ... #fiyatperformans",139,2020-01-26T15:11:03Z,selam alp beyefendi gerçekten sizi dinleyerek harika bilgi edind ipone telefon almaya fiyatperformans,1.0,Olumlu,1
AirPods Pro,Instagram (Simulated),insta_user_5558,💸 Senneheiser momentum incelemeside bekliyoruz kral👑 #unboxing,358,2020-01-25T21:10:09Z,senneheiser momentum incelemeside bekliyoruz kral unboxing,1.0,Olumlu,1
iPhone 15,Twitter (Simulated),@user_13503, Yaa ha s oyun oynamıyor çoğu kişi önemsiz 120hz iPhone 15 aldım. s24u alacaktım sırf 2. El piyasası tr de daha iyi diye Apple aldım yoksa almazdım,30,2025-07-20T23:34:04Z,yaa oyun oynamıyor çoğu kişi önemsiz iphone aldım alacaktım sırf piyasası iyi apple aldım yoksa almazdım,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_8815,"😍 merhaba ıphone 15 mi yoksa ıphone 14 mü daha iyi günlük kullanım için,teşekkürler #fiyatperformans",373,2025-06-28T14:44:29Z,merhaba ıphone yoksa ıphone iyi günlük kullanım içinteşekkür fiyatperformans,1.0,Olumlu,1
iPhone 15,Instagram (Simulated),insta_user_4158,😍 harbiden bu 60 hz muhabbeti saçma. 60-120 arasındaki farkı ben de çok anlamıyorum gereksiz #inceleme,464,2023-12-11T19:43:05Z,harbi muhabbeti saçma arasındaki farkı anlamıyorum gereksiz inceleme,-1.0,Olumsuz,0
AirPods Pro,YouTube,@Sound35,Abi güzel bir inceleme olmuş ama o ses benim 2. Nesil airpods danda geliyor o sanırım sürekli değişiyor,0,2020-01-25T20:39:34Z,abi güzel inceleme olmuş ses ben nesil airpods danda geliyor sanırım sürekli değişiyor,1.0,Olumlu,1
Samsung S24,Instagram (Simulated),insta_user_5603,❤️ Eline emeğine sağlık 👏👏👏 cihaza gelince cihaz güzel ama oyun için alınmaz. Kamera için kendi fiya... #tech,438,2024-07-14T07:33:12Z,eline emeğine sağlık cihaza gelince cihaz güzel oyun alınmaz kamera kendi fiya tech,1.0,Olumlu,1
AirPods Pro,YouTube,@ustausta1726,Bu videolar yüzünden hiçbirşeyden memnun olmaz oldum herşeyde bi kusur,0,2020-01-27T10:13:32Z,video yüzün hiçbirşey memn olmaz oldum herşeyde kusur,1.0,Olumlu,1
AirPods Pro,YouTube,@KaraKawa35,"Selam,  ürünü iPad Air 3 te kullanirken olması gerektiği gibi sağ sol dengesi muthisken , iPhone 11 e bagladigimda soldan daha fazla sağdan oldukça az geliyor. Bu durumda sorun iPhone 11 de , peki bu sorun nasıl çözülür bilen varmı dır ?",0,2021-11-18T00:45:50Z,selam ürünü ipad air kullanirken olması gerektiği sağ sol dengesi muthisken iphone bagladigimda sol fazla sağ oldukça geliyor durumda sor iphone peki sor nasıl çözülür bilen var dır,-1.0,Olumsuz,0
Dyson Supurge,YouTube,@m4136,"Dyson alan kişiler yürek rahatlatma adına sürekli 7 düvele süpürgeyi övüyorlar.(Ben de enayilik yapıp alsaydım emin olun bende böyle yapardım haklısınız) Dolayısıyla fiyat sürekli yukarı tırmanıyor. Arkadaşlar dyson okey kaliteli bir süpürge ama Allah aşkına plastik aksamlı gayet çıt kırıldım bir ürüne 30 bin vermek normal mi? Bende fantom dik süpürge var canavar gibi. Uygun başlıkları aldım koltuk, yatak süpürüyorum. Mobilya tozlarını alıyorum. Halıda performansı çok iyi parkeleri onunla süpürünce silmeye gerek bile kalmıyor. Üstelik bu ürünü ben 360₺e aldım. Şuan 1500 bandında. Tamamen fiyat performans ürünü. Yere düşürüp kırdım servisi ücretsiz evimden alıp yaptırıp geri teslim etti. Dysonda bekleki stok gelsin veya biri sizinle ilgilensin. Dyson un kendi sitesinde ürün yorumlarına bakın. Düşük yıldızlı yorumları iyi okuyun. Bu kadar para verip aynı sıkıntıları çekme ihtimalini göze alıyorsanız buyrun bu parayı verin. Benim paramın hesabı yok sırf popüler kültüre uymak istiyorum alayım kenarda dursun bozulursa çöpe atarım derseniz alabilirsiniz",0,2024-06-01T16:53:43Z,dyson alan kişi yürek rahatlatma adına sürekli düvele süpürgeyi övüyorlarben enayilik yapıp alsaydım emin olun bende yapardım haklısınız dolayısıyla fiyat sürekli yukarı tırmanıyor arkadaş dyson okey kaliteli süpürge allah aşkına plastik aksamlı gayet çıt kırıldım ürüne bin vermek normal bende fantom dik süpürge canavar uyg başlıkları aldım koltuk yatak süpürüyorum mobilya tozlarını alıyorum halıda performansı iyi parkeleri onunla süpürünce silmeye gerek bile kalmıyor üstelik ürünü aldım şuan bandında tamamen fiyat performans ürünü yere düşürüp kırdım servisi ücretsiz evim alıp yaptırıp geri tesl etti dysonda bekleki stok gel veya biri sizinle ilgilen dyson kendi sitesinde ürün yorumlarına bakın düşük yıldızlı yorumları iyi okuy para verip aynı sıkıntıları çekme ihtimalini göze alıyorsanız buyr parayı verin ben paramın hesabı sırf popü kültüre uymak istiyorum alayım kenarda durs bozulursa çöpe atarım derseniz alabilir,1.0,Olumlu,1
Samsung S24,YouTube,@he1809,Bu abinin samimilik çok iyi ya  +s24 plus varken bence s24 mantıksız,5,2024-07-13T17:05:18Z,abi samimilik iyi plus varken bence mantıksız,1.0,Olumlu,1
AirPods Pro,YouTube,@Sound35,İzlemeden bile başarılı ve objektif bir inceleme olduğuna eminim,0,2020-05-22T15:19:49Z,izleme bile başarılı objektif inceleme olduğuna emin,1.0,Olumlu,1
iPhone 15,YouTube,@cans8452,"iPhone 13 ve iphone 14 ve iphone 15 bu üçü arasinda kaldım sizce hangisini almalıyım. 13 ile 14 arasinda cok farklılık olmadığını söylüyorlar. Bir de bazıları 15 te sıkıntı yaşadığını söylüyor. Para veriyorsam degsin istiyorum bir daha uzun bir sure degistirmem muhtemelen. Sizce hangisini almalıyım yardımcı olursaniz cok sevinirim. Bir de 15 te ısınma problemi vs yasaniyormus , o yuzden kararsiz kaldim",4,2024-06-22T09:23:54Z,iphone iphone iphone üçü arasinda kaldım sizce hangisini almalıyım arasinda cok farklılık olmadığını söylüyor bazıları sıkıntı yaşadığını söylüyor para veriyorsam deg istiyorum uzun sure degistirmem muhtemelen sizce hangisini almalıyım yardımcı olursaniz cok sevinir ısınma proble yasaniyormus yuz kararsiz kald,-1.0,Olumsuz,0
AirPods Pro,YouTube,@erenucar6432,valla izlemeden like atım çok iyisin çok iyi anlatıyorsun helal valla samimiyim,16,2020-01-25T16:15:07Z,valla izleme like atım iyi iyi anlatıyors helal valla samimiy,1.0,Olumlu,1
MacBook Air,Twitter (Simulated),@user_15847, macbook benzeri laptoplar arasında ekranı daha kötü olan yok... hepsi oled parlak parlak bu boş ips ekrana uydurma havalı isüm koymuşlar xdr fln çöp lan çöpp ekran,71,2025-04-19T20:33:59Z,macbook benzeri laptop arasında ekranı kötü olan hepsi oled parlak parlak boş ips ekrana uydurma havalı isüm koymuş xdr fln çöp lan çöpp ekran,-1.0,Olumsuz,0
Samsung S24,Twitter (Simulated),@user_82601,"@TeknoMarket Çok ısınıyorrrrr.... s 23  DAHA İYİ ,.. NET 👍👍",71,2024-07-13T20:47:09Z,teknomarket ısınıyorrrrr iyi net,1.0,Olumlu,1
Samsung S24,YouTube,@OmerYldz-qt5ld,Telefonu bugün aldım ilk haftalarda ısınma ve sarj sorunu normalmi ayrıca ilk haftalarda telefonu kaç hz kullanmalıyım,0,2024-09-09T21:31:07Z,telefonu bug aldım ilk haftalarda ısınma sarj sorunu normal ayrıca ilk haftalarda telefonu kaç kullanmalıyım,-1.0,Olumsuz,0
AirPods Pro,YouTube,@orhanmurtezaoglu3894,Gerçekten anlatım çok güzel😊 airpods pro bir önceki nesil e göre çok zahmetli geldi bana Tıklamalar olmadan güç sensörü ile kullanmak beni çok kastı belki alışırım ama sıkmak nedir yahu bir telefon cevaplarken yada sessiz olarak siri ye ulaşmak için insanın kulağına karşı hedef şaşmadan birşeyi sıkması çok zor geldi bana😊 bu güç sensörü meselesini hiç sevmedim. Bir başka konu gene silikon uçlar oda hoş değil gerçekten kulakta bir basınç hava sıkışması hissi veriyor ne biliym mükemmel diyemiyorum belki 2. Nesil kulaklığımı kullanmaya devam edicem. Çok güzel olmamış bence eski nesil airpods ların kullanımı daha kolay ve detaysızdı tril tril di.😊,0,2020-05-15T05:24:58Z,gerçekten anlatım güzel airpods pro önceki nesil göre zahmetli geldi tıklama olma güç sensörü kullanmak beni kastı belki alışırım sıkmak nedir yahu telefon cevaplarken yada sessiz olarak siri ulaşmak insa kulağına karşı hedef şaşma birşeyi sıkması zor geldi güç sensörü meselesini hiç sevmed başka konu gene silikon uçlar oda hoş değil gerçekten kulakta basınç hava sıkışması hissi veriyor biliym mükemmel diyemiyorum belki nesil kulaklığı kullanmaya devam edicem güzel olmamış bence eski nesil airpods ların kullanı kolay detaysızdı tril tril,1.0,Olumlu,1
